IMP,Year,Shipping_From,Ship_via,Customer,FLT#/Vessle#,Original_Need_Date,CEB_authorized_date,Forwarder,Gross_weight(kg),Pickup_day,ETD_port,ETA_Santos_or_VCP,Sailing_TAT,DI_register_date,Customs_clearance_date,Clearance_TAT,KPI_expect_arrive_CEB_date,FIRM_ARRIVAL_on_CEB,CEB_LGC_estimated_receiving_date,Door_to_Door_TAT,International_Transportation_Cost_(USD),Channel
BSP1801021,2018,MIA,Air,A31,ATLAS,,12/26/18,EI,51,12/25/18,12/26/18,12/26/18,1,12/27/18,12/27/18,1,12/25/18,12/27/18,12/27/18,2,870.63,Green
IMP1900017,2019,CQ,Air,ABO,KLM,,43678,Weida,89,43739,01/14/19,01/16/19,6,01/17/19,01/17/19,1,43739,01/17/19,01/17/19,7,1665.4,Green
IMP1801040,2018,CD,Air,A31,KLM,,12/27/18,Weida,173.5,12/28/18,12/31/18,43556,7,43556,43556,0,12/28/18,43556,43647,7,1456.74,Green
IMP1801038,2018,CQ,Air,ABO,KLM,,12/27/18,Weida,38.5,12/28/18,43617,43678,11,43678,43678,1,12/28/18,43709,43770,12,898.6,Green
IMP1801043,2018,CD,Sea,A31,SWITZERLAND,,12/28/18,Asia Shipping,,12/28/18,43617,43679,42,43771,43771,4,02/21/19,43801,43771,46,3137,Green
IMP1801042,2018,KS,Sea,A31,SWITZERLAND,,12/28/18,Asia Shipping,1411,12/28/18,43617,43679,42,43771,43771,4,02/21/19,43801,02/14/19,46,1269,Green
IMP1801037,2018,CQ,Sea,ABO,SWITZERLAND,,12/27/18,Asia Shipping,18639.72,12/28/18,43617,43679,42,43771,43771,4,02/21/19,43801,02/14/19,46,4780,Green
IMP1801025,2018,CQ,Sea,ABO,SWITZERLAND,,12/26/18,Asia Shipping,12530.71,12/27/18,43617,43679,43,43771,43771,5,02/20/19,02/13/19,02/14/19,48,2390,Green
IMP1801036,2018,CQ,Sea,ABO,MSC ELMA,,12/28/18,DHL,10941.27,12/24/18,43678,43740,48,43771,43771,4,02/17/19,02/14/19,02/15/19,52,2300,Green
IMP1801035,2018,CQ,Sea,ABO,MSC ELMA,,12/28/18,DHL,12942.22,12/24/18,43678,43740,48,43771,43771,4,02/17/19,02/14/19,02/15/19,52,2300,Green
IMP1801024,2018,CQ,Sea,ABO_Quanta,SWITZERLAND,,12/26/18,Asia Shipping,2777.3,12/28/18,43617,43679,42,43771,43771,4,02/21/19,43801,02/14/19,46,1495,Green
IMP1801039,2018,CQ,Sea,ABO_Quanta,SWITZERLAND,,12/27/18,Asia Shipping,587.7,12/28/18,43617,43679,42,43771,43771,4,02/21/19,43801,02/14/19,46,1445,Green
BSP1801017,2018,SHA,Sea,ABO,MSC ELMA,,12/19/18,Weida,3392.6,12/24/18,43678,43740,48,43771,43771,2,02/17/19,43801,02/15/19,50,1270,Green
BSP1801014,2018,KS,Air,ABO,KLM,,12/19/18,Weida,254,12/26/18,12/31/18,43497,7,43497,43497,0,12/26/18,43497,43497,7,1909.76,Green
IMP1801020,2018,CD,Air,A31,KLM,,12/20/18,Weida,261.5,12/21/18,12/24/18,12/26/18,5,12/26/18,12/26/18,1,12/21/18,12/27/18,12/27/18,6,2595.38,Green
BSP1801013,2018,MIA,Air,A31,ATLAS,,12/18/18,EI,42.5,12/17/18,12/17/18,12/18/18,1,12/19/18,12/19/18,1,12/17/18,12/19/18,12/19/18,2,1100.63,Green
IMP1801019,2018,KS,Sea,A31,CAPE ARTEMISIO,,12/19/18,Weida,1582.5,12/21/18,12/25/18,01/28/19,38,01/29/19,01/29/19,8,02/14/19,43587,43587,46,2320,Green
BSP1801011,2018,KS,Air,ABO,FEDEX,,12/17/18,FEDEX,43,12/17/18,12/17/18,12/19/18,2,12/20/18,12/20/18,1,12/17/18,12/20/18,12/20/18,3,431.14,Green
BSP1801010,2018,MIA,Air,A31,ATLAS,,12/17/18,EI,39,12/14/18,12/14/18,12/17/18,3,12/18/18,12/18/18,1,12/14/18,12/18/18,12/18/18,4,765.63,Green
BSP1801005,2018,CQ,Air,ABO,KLM,,12/14/18,Weida,35,12/19/18,12/24/18,12/26/18,7,12/26/18,12/26/18,1,12/19/18,12/27/18,12/27/18,8,626.75,Green
BSP1801006,2018,CQ,Air,ABO,LUFTHANSA,,12/14/18,CEVA,13.1,12/17/18,12/19/18,12/20/18,3,12/20/18,12/20/18,0,12/17/18,12/20/18,12/20/18,3,136,Green
BSP1801007,2018,MIA,Air,A31,ATLAS,,12/17/18,EI,33,12/14/18,12/14/18,12/17/18,3,12/18/18,12/18/18,1,12/14/18,12/18/18,12/18/18,4,740.63,Green
BSP1801004,2018,CQ,Air,ABO,EMIRATES,,12/14/18,Agility,1260,12/19/18,12/22/18,12/25/18,6,12/26/18,12/26/18,1,12/19/18,12/26/18,12/26/18,7,8355.6,Green
BSP1801009,2018,MIA,Air,A31,ATLAS,,12/17/18,EI,36,12/14/18,12/14/18,12/17/18,3,12/18/18,12/18/18,1,12/14/18,12/18/18,12/18/18,4,715.63,Green
BSP1801008,2018,MIA,Air,A31,ATLAS,,12/17/18,EI,25.5,12/14/18,12/14/18,12/17/18,3,12/18/18,12/18/18,1,12/14/18,12/18/18,12/18/18,4,715.63,Green
IMP1801012,2018,CD,Air,A31,KLM,,12/17/18,Weida,2243.89,12/19/18,12/24/18,12/26/18,7,12/26/18,12/26/18,1,12/19/18,12/27/18,12/27/18,8,16833.04,Green
IMP1801001,2018,SHA,Sea,A31_Wistron,ANTHEA Y,,12/13/18,DHL,1583,12/14/18,12/22/18,01/24/19,41,01/25/19,01/25/19,6,43648,01/30/19,01/31/19,47,3967.35,Green
BSP1800991,2018,SHA,Sea,ABO,MSC GISELLE,,12/13/18,Weida,7363.93,12/14/18,12/19/18,01/21/19,38,01/21/19,01/21/19,3,43648,01/24/19,01/28/19,41,1270,Green
IMP1801002,2018,CTU,Air,A31_Wistron,ATLAS,,12/13/18,Weida,4,12/14/18,12/15/18,12/18/18,4,12/19/18,12/19/18,1,12/14/18,12/19/18,12/19/18,5,540,Green
IMP1801003,2018,CQ,Sea,ABO,CMA CGM RODOLPHE  ,,43556,Asia Shipping,14323.68,43678,01/13/19,02/15/19,38,02/18/19,02/18/19,6,43558,02/21/19,02/22/19,44,3585,Green
IMP1801000,2018,CQ,Air,ABO,ANTHEA Y,,43416,Asia Shipping,9402.19,01/17/19,12/22/18,01/25/19,8,01/25/19,01/25/19,4,03/13/19,01/29/19,01/29/19,12,2390,Green
IMP1800999,2018,CQ,Sea,ABO,ANTHEA Y,,43416,Asia Shipping,13163.47,12/17/18,12/23/18,01/25/19,39,01/25/19,01/25/19,4,43740,01/29/19,01/29/19,43,2390,Green
BSP1800998,2018,MEM,Air,ABO,FEDEX,,43385,FEDEX,3,43385,43416,12/13/18,3,12/14/18,12/14/18,1,43385,12/14/18,12/14/18,4,95.91,Green
BSP1800994,2018,MIA,Air,A31,ATLAS,,43385,EI,54.5,43263,43263,43385,4,43385,43385,1,43263,43416,43416,5,889.23,Green
BSP1800995,2018,MIA,Air,A31,ATLAS,,43385,EI,24,43263,43263,43385,4,43385,43385,1,43263,43416,43416,5,1075.63,Green
BSP1800993,2018,MIA,Air,A31,ATLAS,,43385,EI,27,43293,43293,43385,3,43385,43385,1,43293,43416,43416,4,715.63,Green
BSP1800997,2018,MEM,Air,ABO,FEDEX,,43385,FEDEX,12.6,43385,43385,43446,2,12/13/18,12/13/18,1,43385,12/13/18,12/13/18,3,128.5,Green
